id,company,position,salary,city,remark,score,time,number
1,上海联影医疗,应用软件岗位,14w,上海,10*14大概就是这个价,20,"2016-10-27 02:49:54",3827
2,华为,客户经理,24w,深圳,15*16，这个一般的offer吧。,25,"2016-10-27 02:50:30",1776
3,当当,C++开发工程师,20w,北京,"待遇13K，C++开发，主要做广告和搜索业务方向 ",9,"2016-10-27 02:51:13",970
4,中兴,无线基带开发,15w,深圳,"待遇10K，无线部门，应该是做基带开发方向，算上奖金刚开始可能年薪15W左右吧 ",13,"2016-10-27 02:51:49",1139
5,宁波银行,总行定向生,14w,宁波,这个工资包括所有福利了，因年终奖不定，14W上下一两万浮动,6,"2016-10-27 02:52:37",994
6,招联金融,研发工程师,18~19W,深圳,10.8k*17,9,"2016-10-27 02:53:07",583
7,招银网络科技,软件研发岗位,24w-27w,杭州,10*24-27包括所有福利和公司公积金,53,"2016-10-27 02:53:54",2645
8,华为,存储工程师,28w,深圳,"18kx16 special",11,"2016-10-27 02:54:30",583
9,招商银行信用卡中心,研发岗位,20w,上海,银行打包价格，今年可能多了一两万,5,"2016-10-27 02:55:08",1180
10,人人网,软件研发,13.6w-18w,武汉,"渣渣offer,9*14-20，有人拿12*14-20",2,"2016-10-27 02:55:58",936
11,华硕,软件研发,14w,苏州,10*14,3,"2016-10-27 02:56:26",523
12,微店,研发工程师,21w,北京,14*15，比较好的,7,"2016-10-27 02:56:58",4379
13,腾讯,研发工程师,20-22w,深圳,"本科大概11.5*16，硕士月薪多一千多，有住房补贴 ",25,"2016-10-27 02:57:27",2215
16,中电28所,研发工程师,15-20w,南京,给985的基本是15-20w，年薪属于打包价格，比较看重学历，在南京，加班多，不过前景好，部门扩张挺快，面试老师也不错,30,"2016-10-27 03:01:27",1828
17,宁波银行科技部,研发岗位,13-16w,宁波,打包价格，大概13-16左右，待遇还行，在宁波可以过得不错了。,16,"2016-10-27 03:02:14",3272
18,浙商银行信息科技部,研发岗位,19-20w,杭州,"各种打包加福利一起20w左右，月到手有8千左右，其余都是年终奖跟过节费 ",4,"2016-10-27 03:02:56",845
19,科大讯飞,软件开发,13W,合肥,一般的offer,13,"2016-10-27 03:03:30",1374
20,海康威视,软件开发,15W,杭州,一般的offer,33,"2016-10-27 03:03:56",2747
21,菜鸟网络,研发工程师,20w,杭州,"批发价，13*15，不过貌似几年以后有期权，前景不错 ",6,"2016-10-27 03:04:26",994
22,京东,研发工程师,22.5w,北京,"15*15，比较好的offer，其他待遇不清楚 ",-1,"2016-10-27 03:04:56",308
23,百度,算法工程师,28w,北京,大概是20*14.6的水平，special,6,"2016-10-27 03:05:23",1146
24,华为,大数据研发工程师,28.8w,深圳,"比较好的special，18*16水平，年终奖四个月，住房公积金不清楚，希望有人来爆料哈 ",7,"2016-10-27 03:05:55",773
25,华为,IT应用研发工程师,25w,杭州,"一般的special，16*16，四个月年终奖，C7计算机学院批发价 ",41,"2016-10-27 03:06:19",3304
26,华为,研发工程师,20w,武汉,二线城市比较好的special，14*16，大概20w左右,5,"2016-10-27 03:07:18",947
27,华为,研发工程师,20w,南京,南研所的，少数是14*16，个别18*16的，我的是一般offer,11,"2016-10-27 12:35:13",6995
28,华为,产品行销经理,19.6-22.4w,深圳,14*14-14*16，不知道是不是special，身边有比我高的,8,"2016-10-27 12:37:14",1785
29,华为,研发工程师,16.8-19.2w,西安,12*14-12*16，西安这边的，一般的offer，近批发价吧，不过感觉在西安还可以过下去。。。,9,"2016-10-27 12:41:23",701
30,大华,软件测试,8k*16-18,杭州,硕士，打包价,7,"2016-10-27 12:51:17",686
31,携程,安卓开发,22.5,上海市,"实习留用 ",5,"2016-10-27 12:51:39",512
32,新华三,软件开发和测试,15w左右,杭州,11*12，年终奖不定0-6个月，公积金交12%，基数是9500,19,"2016-10-27 12:51:55",1600
33,同花顺,开发工程师,20W左右,杭州,"13k*12 + 1~5个月年终奖",2,"2016-10-27 13:29:01",494
34,同花顺,java开发,13w-17w,杭州,"免费午晚餐 13w-17w（10k/月，1-5个月年终）",10,"2016-10-27 13:32:18",766
35,大华,软件开发,12W左右,杭州,本科研发，7K基本工资，公积金12%，补贴5-600左右，一共16-18月,6,"2016-10-27 13:40:34",657
36,滴滴,开发工程师,22W,杭州,"硕士15K * 15",12,"2016-10-27 13:42:13",1495
37,TP-LINK,软件工程师,32W,深圳或杭州,special，硕士C7且本科C9或部分985，20×16,20,"2016-10-27 13:59:29",1214
38,华为,硬件工程师,18w,武汉,"普通offer      12k*14-12k*16.    就想留武汉，感觉普通offer也还行吧",12,"2016-10-27 14:01:29",1135
39,斐讯,软件开发,19.6W,上海,14*14，研究生，985的可能达到16k，研究生提供住房，单间400,2,"2016-10-27 14:48:22",667
40,百度,研发工程师,20万,北京,批发价,25,"2016-10-27 14:56:29",1492
41,微软,研发工程师,19.1w,苏州,实习转正打包价，貌似今年偏低，哎,163,"2016-10-27 15:04:44",9932
